,count
</jats:p>,424574
<jats:p>,423628
</jats:italic>,221826
<jats:italic>,221819
</jats:title>,191730
<jats:title>,171867
</jats:sec>,129806
<jats:sec>,121123
</jats:sub>,61356
<jats:sub>,61299
</jats:sup>,44363
<jats:sup>,44306
"<jats:title content-type=""abstract-heading"">",11903
"<jats:title content-type=""abstract-subheading"">",7911
<jats:bold>,7458
</jats:bold>,7458
</jats:named-content>,6160
</jats:inline-formula>,5769
</jats:tex-math>,5334
<jats:tex-math>,5317
<jats:inline-formula>,5314
"<jats:named-content content-type=""genus-species"">",4948
</jats:alternatives>,4893
<jats:alternatives>,4893
</jats:styled-content>,3693
"<jats:styled-content style=""fixed-case"">",3656
<jats:sc>,3522
</jats:sc>,3522
</jats:ext-link>,1788
"<jats:named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">",1118
"<jats:p xml:lang=""en"">",910
"<jats:sec xml:lang=""en"">",901
</jats:underline>,870
<jats:underline>,870
</jats:related-article>,688
</jats:alt-text>,520
<jats:alt-text>,520
</jats:inline-graphic>,520
</jats:list-item>,413
<jats:list-item>,410
"<jats:sec id=""abs1-4"">",328
"<jats:sec id=""abs1-3"">",328
"<jats:sec id=""abs1-5"">",328
"<jats:sec id=""abs1-1"">",328
"<jats:sec id=""abs1-2"">",328
"<jats:sec id=""abs1-6"">",320
"<jats:sec id=""abs1-7"">",298
"<jats:sec id=""abs1-8"">",270
"<jats:sec sec-type=""results"">",246
"<jats:sec id=""abs1-9"">",241
"<jats:sec sec-type=""methods"">",218
"<jats:sec id=""abs1-10"">",200
<jats:monospace>,184
</jats:monospace>,184
"<jats:sec id=""abs1-11"">",163
</jats:disp-formula>,152
"<jats:sec sec-type=""conclusions"">",137
<jats:p />,126
<jats:disp-formula>,111
<jats:private-char>,108
</jats:private-char>,108
</jats:xref>,107
</jats:list>,107
</jats:fig>,107
"<jats:sec id=""abs1-12"">",106
"<jats:fig position=""anchor"">",99
<jats:xref>,91
